OpenDSS Value (p.u.),Bus
0.0,udt17845-udt5371xx
0.0,udt17845-udt17874xx
0.0,udt17845-udt17874x
0.0,udt11849-udt17874x
0.0,udt11849-udt17874xx
0.0,udt19012-udt5131xx
0.0,udt17845-udt5371x
0.0,udt14635-udt15268xx
0.0,udt14635-udt15268x
0.0,udt15268-udt5158xx
0.0,udt10669-udt6595xx
0.0,udt10669-udt6595x
0.0,udt4618-udt4627x
0.0,udt4618-udt4627xx
0.0,udt14053-udt8299xx
0.0,udt14053-udt8299x
0.0,udt4007-udt9897xx
0.0,udt1653-udt9921x
0.0,udt19283-udt19731x
0.0,udt19283-udt19731xx
0.0,udt19320-udt19580xx
0.0,udt19320-udt19580x
0.0,udt3345-udt4621x
0.0,udt3345-udt4621xx
0.0,udt1653-udt9921xx
0.0,udm46455
0.0,udt4007-udt9897x
0.0,udt12933-udt5134x
0.0,udt15268-udt5158x
0.0,udt12872-udt15278x
0.0,udm49594
0.0,udm49595
0.0,udm46272
0.0,udm46273
0.0,udt12322-udt5135x
0.0,udm37900
0.0,udm37902
0.0,udt12697-udt5141x
0.0,udt11077-udt18617x
0.0,udt1949-udt1951xxx
0.0,udt1951-udt1961x
0.0,udt12225-udt1938x
0.0,udm37901
0.0,udt5136-udt5153xx
0.0,udt5136-udt5153x
0.0,udt18626-udt5153x
0.0,udt1951-udt5131xx
0.0,udt1951-udt5131x
0.0,udt5131-udt5138xx
0.0,udt5131-udt5138x
0.0,udt5130-udt5138x
0.0,udt5130-udt5138xx
0.0,udt11530-udt1951x
0.0,udt12291-udt5130x
0.0,udt12291-udt16706xx
0.0,udt12291-udt16706x
0.0,udt16706-udt5136xx
0.0,udt16706-udt5136x
0.0,udt12192-udt5136x
0.0,udt12192-udt5136xx
0.0,udt12291-udt5130xx
0.0,udt12192-udt5146xx
0.0,udt11530-udt1951xx
0.0,udt11530-udt12225x
0.0,p1umv40-p1umv87x
0.0,p1umv40-p1umv87xx
0.0,p1umv59-udt11164x
0.0,p1umv40-p1umv54xx
0.0,p1umv40-p1umv54x
0.0,p1umv8-uhs4_1247x
0.0,udt11530-udt12225xx
0.0,udt11077-udt12697xx
0.0,udt12697-udt5148xx
0.0,udt12697-udt5148x
0.0,udt11849-udt15141xx
0.0,udt11849-udt15141x
0.0,udt12225-udt15141x
0.0,udt12225-udt15141xx
0.0,udt11077-udt12697x
0.0,p1umv87-udt15142x
0.0,udt12192-udt5146x
0.0,udt16122-udt5146xx
0.0,udm37493
0.0,udt11077-udt14033x
0.0,udt11077-udt14033xx
0.0,udt14780-udt5142xx
0.0,udt14780-udt5142x
0.0,udt5136-udt5142x
0.0,udm37492
0.0,udt5136-udt5142xx
0.0,udt11633-udt14202xx
0.0,udt11633-udt5147xx
0.0,udt11633-udt5147x
0.0,udt18626-udt5147x
0.0,udt18626-udt5147xx
0.0,udt18626-udt5153xx
0.0,udt11633-udt14202x
0.0,udt16122-udt5146x
0.0,udm37491
0.0,udt11532-udt713x
0.0,udt16122-udt5148xx
0.0,udt16122-udt5148x
0.0,udt10888-udt12756x
0.0,udt14381-udt15022x
0.0,udt15022-udt16145x
0.0,udt12872-udt16145x
0.0,p1umv83-udt11532x
0.0,p1umv40-udt12872x
0.0,udt12899-udt5154x
0.0,udt5154-udt5155xx
0.0,udt5154-udt5155x
0.0,udm38935
0.0,udm38937
0.0,udm38936
0.0,udt12899-udt5154xx
0.0,p1ulv44304
0.0,udt17794-udt9216xxx
0.0,udt801-udt9714x
0.0,udt18221-udt4173xx
0.0,udt11767-udt18221x
0.0,udt11767-udt18221xx
0.0,udt10973-udt11807x
0.0,p1umv7-uhs4_1247x
0.0,p1umv7-udt10973x
0.0,udt10973-udt14743x
0.0,udt10973-udt13854x
0.0,udt11439-udt9224x
0.0,udt9221-udt9224x
0.0,udt9225-udt9226xx
0.0,udt9225-udt9226x
0.0,udt12597-udt9226x
0.0,udt12597-udt9226xx
0.0,udt12597-udt769xx
0.0,udt12597-udt769x
0.0,udt769-udt9229xx
0.0,udt13265-udt14134x
0.0,udt16032-udt9230x
0.0,udt14399-udt793xx
0.0,udt14399-udt793x
0.0,udt9222-udt9223x
0.0,udt16117-udt791xx
0.0,udt18221-udt4173x
0.0,udt16117-udt791x
0.0,udt11294-udt11917xx
0.0,udt11294-udt762xx
0.0,udt11294-udt762x
0.0,udt762-udt769xx
0.0,udt762-udt769x
0.0,udt769-udt9229x
0.0,udt11294-udt11917x
0.0,udt16768-udt4173x
0.0,udt16768-udt4173xx
0.0,p1umv51-udt16768x
0.0,udt11606-udt16811xx
0.0,udt11606-udt16811x
0.0,udt16811-udt18695xx
0.0,udt16811-udt18695x
0.0,udt18695-udt9216xx
0.0,udt18695-udt9216x
0.0,udt11606-udt14134xx
0.0,udt18996-udt9216x
0.0,udt18996-udt788xx
0.0,udt18996-udt788x
0.0,udt788-udt797xx
0.0,udt788-udt797x
0.0,udt18723-udt4932x
0.0,udt4932-udt4936x
0.0,udt18996-udt9216xx
0.0,udt13265-udt14134xx
